player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gøss",NHwnhDTCDx,2025-09-04T20:02:00.177Z,,2000,,4093,2093
"Simen",wa3yCceEyK,2025-09-04T20:01:16.734Z,2025-09-04T20:28:37.614Z,2000,2680,0,680
"greenguy",Qt4m7ehO_F,2025-09-04T19:57:58.977Z,2025-09-04T20:48:08.707Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-09-04T19:57:58.961Z,,2000,,2340,340
"greenguy",Qt4m7ehO_F,2025-09-04T19:45:58.613Z,2025-09-04T19:56:17.554Z,2000,0,0,-2000
"mag",cqPRoYf5yP,2025-09-04T19:45:58.618Z,,2000,,6887,4887
"Gøss",NHwnhDTCDx,2025-09-04T19:45:58.610Z,2025-09-04T20:01:16.730Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-09-04T19:45:58.606Z,2025-09-04T19:56:17.547Z,2000,0,0,-2000
