player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Simen",43RLVYD2U4,2025-08-06T22:32:26.265Z,,2000,,1875,-125
"Bendik",sXG204kdid,2025-08-06T21:52:54.767Z,2025-08-06T23:06:33.060Z,3400,2165,0,-1235
"Viffern",BRdibe6rnP,2025-08-06T21:09:38.833Z,2025-08-06T23:07:22.729Z,2000,3386,0,1386
"Lama",yw64lPIRGk,2025-08-06T21:04:15.793Z,2025-08-06T23:05:18.757Z,2000,5902,0,3902
"Bendik",sXG204kdid,2025-08-06T21:01:19.881Z,2025-08-06T21:50:33.195Z,2000,0,0,-2000
"Simen",43RLVYD2U4,2025-08-06T21:01:19.883Z,2025-08-06T22:31:10.171Z,2000,0,0,-2000
"Viffern",BRdibe6rnP,2025-08-06T21:01:19.888Z,2025-08-06T21:07:45.607Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-06T21:01:19.875Z,2025-08-06T23:03:09.851Z,2000,4072,0,2072
