player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gøss",NHwnhDTCDx,2025-09-08T13:47:13.364Z,,2000,,3150,1150
"Simen",cNApMdaPeS,2025-09-08T13:47:13.360Z,,2000,,810,-1190
"Krautern",ehyqeI4GS7,2025-09-08T13:47:13.357Z,,2000,,2040,40
